word,행복,기쁨,혐오,슬픔,분노
있지,18.360655737704917,17.704918032786885,19.672131147540984,30.81967213114754,13.442622950819674
플레이스테이션,100.0,0.0,0.0,0.0,0.0
삶,34.29271279853031,29.76117575015309,5.511328842620943,22.90263319044703,7.532149418248621
수직,100.0,0.0,0.0,0.0,0.0
상승,52.63157894736842,0.0,0.0,0.0,47.368421052631575
마음,22.737361282367445,26.189889025893958,5.178791615289765,31.763255240443893,14.130702836004932
찬물,25.000000000000007,0.0,0.0,75.0,0.0
말,10.680707032719067,14.55434373824746,22.64009025949605,20.45881910492666,31.666039864610752
재미,37.74403470715835,27.331887201735356,6.507592190889371,15.184381778741866,13.232104121475052
삶의질,100.0,0.0,0.0,0.0,0.0
기어,9.67741935483871,29.03225806451613,0.0,19.35483870967742,41.935483870967744
코,28.20512820512821,5.769230769230769,28.846153846153843,18.58974358974359,18.58974358974359
내,17.774762550881952,17.096336499321573,14.314789687924018,24.62686567164179,26.187245590230663
함몰,100.0,0.0,0.0,0.0,0.0
감개,100.0,0.0,0.0,0.0,0.0
무량,100.0,0.0,0.0,0.0,0.0
생각,18.21474773609315,16.76584734799483,15.575679172056923,24.21733505821475,25.226390685640364
게임,10.476190476190476,31.428571428571434,23.809523809523807,16.825396825396826,17.46031746031746
샀,14.285714285714288,0.0,0.0,85.71428571428571,0.0
특급,11.11111111111111,0.0,0.0,0.0,88.88888888888889
비밀,33.057851239669425,7.43801652892562,0.0,28.925619834710748,30.57851239669422
셋,14.285714285714285,11.688311688311687,0.0,3.896103896103895,70.12987012987013
뿜뿜,73.33333333333334,0.0,0.0,0.0,26.666666666666668
다시,18.19371727748691,16.49214659685864,7.853403141361256,32.19895287958116,25.261780104712038
가슴,16.92913385826772,24.803149606299215,11.811023622047244,29.92125984251969,16.53543307086614
시작,29.607957870099472,22.118197776477473,12.287887653598597,24.692802808660037,11.293153891164422
밖,23.364485981308412,25.233644859813086,14.018691588785048,21.49532710280374,15.887850467289722
행군,100.0,0.0,0.0,0.0,0.0
늘,36.52802893309222,42.31464737793852,0.0,14.828209764918626,6.329113924050633
양,32.55813953488372,0.0,0.0,27.906976744186046,39.53488372093024
깨달음,40.69767441860465,52.32558139534883,0.0,6.976744186046512,0.0
우리,28.293022446493822,26.62258569688533,20.428049417087177,16.49556290238385,8.160779537149818
합격,40.625,0.0,0.0,18.75,40.625
중단,8.695652173913045,0.0,0.0,0.0,91.30434782608695
인강,100.0,0.0,0.0,0.0,0.0
유정,100.0,0.0,0.0,0.0,0.0
일만,36.48648648648649,48.64864864864865,0.0,12.162162162162163,2.702702702702703
멋진,36.13861386138614,49.00990099009901,0.0,8.91089108910891,5.9405940594059405
행복하고,62.40601503759399,20.30075187969925,0.0,17.29323308270677,0.0
영,33.33333333333333,41.37931034482759,0.0,20.689655172413794,4.597701149425288
멋지다,100.0,0.0,0.0,0.0,0.0
고간,100.0,0.0,0.0,0.0,0.0
울,24.378109452736318,17.91044776119403,7.46268656716418,37.81094527363184,12.437810945273633
건강하길,100.0,0.0,0.0,0.0,0.0
학생,22.315789473684212,26.526315789473685,25.26315789473685,17.263157894736846,8.631578947368423
달리,12.598425196850393,14.173228346456693,23.62204724409449,36.22047244094488,13.385826771653544
공부,30.897703549060545,7.515657620041753,6.263048016701461,31.732776617954073,23.59081419624217
군대,5.405405405405405,16.216216216216214,13.513513513513514,42.34234234234234,22.52252252252252
기전,18.571428571428573,51.42857142857144,0.0,17.142857142857142,12.85714285714286
